,Reuniao,Media_Historica,Desvio_Padrao_Medio,Qtd_Projeções
0,R1/2026,14.708867685589519,0.376925327510917,229
1,R1/2027,12.397444266666666,0.7957386666666666,375
2,R1/2028,11.204914788732394,1.0038007042253523,142
3,R2/2025,14.249345454545454,0.02719090909090909,11
4,R2/2026,14.39016717557252,0.4829469465648855,262
5,R2/2027,12.151631680440772,0.8411206611570248,363
6,R2/2028,11.226949107142858,1.0082464285714285,112
7,R3/2025,14.777725581395348,0.12951395348837208,43
8,R3/2026,14.01011103448276,0.5673568965517242,290
9,R3/2027,11.875899390243903,0.8553371951219512,328
10,R3/2028,11.279430000000001,1.0146950000000001,80
11,R4/2025,14.955820547945203,0.20305890410958904,73
12,R4/2026,13.644752321981425,0.6121046439628482,323
13,R4/2027,11.625445364238411,0.8976738410596027,302
14,R4/2028,11.328527450980392,1.0387156862745097,51
15,R5/2025,14.970319607843138,0.1722186274509804,102
16,R5/2026,13.32868463687151,0.6281357541899442,358
17,R5/2027,11.437055056179775,0.9192108614232211,267
18,R5/2028,11.098181818181818,1.022681818181818,11
19,R6/2025,14.975183211678832,0.13555036496350364,137
20,R6/2026,13.049305066666667,0.6558442666666666,375
21,R6/2027,11.285677215189873,0.9289274261603375,237
22,R7/2025,14.957706976744188,0.15703779069767443,172
23,R7/2026,12.8222352,0.6997872,375
24,R7/2027,11.221037373737374,0.9423499999999999,198
25,R8/2025,14.896598979591838,0.24724285714285715,196
26,R8/2026,12.6448992,0.7427368,375
27,R8/2027,11.179984916201118,0.9500625698324023,179
